imo,vessel_name,route_id,origin,destination,scenario,freight_rate_usd_per_mt,cargo_quantity_mt,live_scenario_revenue_usd,live_bunker_price_usd_per_mt,bunker_market_reference,bunker_updated_at,live_bunker_cost_usd,live_total_voyage_cost_usd,live_scenario_profit_usd,profitable,loss_making,live_cost_joined,scenario_code,candidate_key
9324502,WHITE ROSE,21,Indonesia,East Coast India,bull,24.9515741820216,166250.0,4148199.2077610907,770.5,Singapore,2026-08-28T16:11:32.820Z,253226.74997918415,409687.7493194485,3738511.458441642,True,False,True,2,9324502_R21_bull
9324502,WHITE ROSE,22,Indonesia,West Coast India,base,17.7,73625.0,1303162.5,770.5,Singapore,2026-08-28T16:11:32.820Z,361576.96779122745,574287.269045596,728875.230954404,True,False,True,1,9324502_R22_base
9324502,WHITE ROSE,22,Indonesia,West Coast India,bear,13.593554434571423,73625.0,1000825.445245321,770.5,Singapore,2026-08-28T16:11:32.820Z,361576.96779122745,574287.269045596,426538.176199725,True,False,True,0,9324502_R22_bear
9324502,WHITE ROSE,22,Indonesia,West Coast India,bull,25.30904659150615,73625.0,1863378.5552996402,770.5,Singapore,2026-08-28T16:11:32.820Z,361576.96779122745,574287.269045596,1289091.2862540442,True,False,True,2,9324502_R22_bull
9324502,WHITE ROSE,24,US East Coast (Hampton Roads / Baltimore),East Coast India (Paradip / Visakhapatnam),base,44.35,73625.0,3265268.75,770.5,Singapore,2026-08-28T16:11:32.820Z,841886.934711488,1303946.9916674844,1961321.7583325156,True,False,True,1,9324502_R24_base
9324502,WHITE ROSE,24,US East Coast (Hampton Roads / Baltimore),East Coast India (Paradip / Visakhapatnam),bear,34.06068582899677,73625.0,2507717.994159887,770.5,Singapore,2026-08-28T16:11:32.820Z,841886.934711488,1303946.9916674844,1203771.0024924027,True,False,True,0,9324502_R24_bear
9324502,WHITE ROSE,24,US East Coast (Hampton Roads / Baltimore),East Coast India (Paradip / Visakhapatnam),bull,63.415605442559205,73625.0,4668973.950708422,770.5,Singapore,2026-08-28T16:11:32.820Z,841886.934711488,1303946.9916674844,3365026.9590409375,True,False,True,2,9324502_R24_bull
9324502,WHITE ROSE,3,"East Kalimantan, Indonesia","Navlakhi, India",base,18.45,54625.0,1007831.25,770.5,Singapore,2026-08-28T16:11:32.820Z,375504.91739135387,595445.8219423487,412385.42805765127,True,False,True,1,9324502_R3_base
9324502,WHITE ROSE,3,"East Kalimantan, Indonesia","Navlakhi, India",bear,14.169552503832929,54625.0,774011.8055218738,770.5,Singapore,2026-08-28T16:11:32.820Z,375504.91739135387,595445.8219423487,178565.98357952503,True,False,True,0,9324502_R3_bear
9324502,WHITE ROSE,3,"East Kalimantan, Indonesia","Navlakhi, India",bull,26.3814638199598,54625.0,1441087.461165304,770.5,Singapore,2026-08-28T16:11:32.820Z,375504.91739135387,595445.8219423487,845641.6392229553,True,False,True,2,9324502_R3_bull
9324502,WHITE ROSE,4,"Hay Point, Australia","Visakhapatnam, India",base,23.3,73625.0,1715462.5,770.5,Singapore,2026-08-28T16:11:32.820Z,441649.8027534367,695929.3888681346,1019533.1111318654,True,False,True,1,9324502_R4_base
9324502,WHITE ROSE,4,"Hay Point, Australia","Visakhapatnam, India",bear,17.894340018390636,73625.0,1317470.7838540105,770.5,Singapore,2026-08-28T16:11:32.820Z,441649.8027534367,695929.3888681346,621541.3949858759,True,False,True,0,9324502_R4_bear
9324502,WHITE ROSE,4,"Hay Point, Australia","Visakhapatnam, India",bull,33.31642856396007,73625.0,2452922.0530215604,770.5,Singapore,2026-08-28T16:11:32.820Z,441649.8027534367,695929.3888681346,1756992.664153426,True,False,True,2,9324502_R4_bull
9324502,WHITE ROSE,5,"Hay Point, Australia","Paradip, India",base,21.1,73625.0,1553487.5,770.5,Singapore,2026-08-28T16:11:32.820Z,439425.9084794074,692550.9745297163,860936.5254702837,True,False,True,1,9324502_R5_base
9324502,WHITE ROSE,5,"Hay Point, Australia","Paradip, India",bear,16.20474568189023,73625.0,1193074.4008291683,770.5,Singapore,2026-08-28T16:11:32.820Z,439425.9084794074,692550.9745297163,500523.42629945197,True,False,True,0,9324502_R5_bear
9324502,WHITE ROSE,5,"Hay Point, Australia","Paradip, India",bull,30.17067136049604,73625.0,2221315.678916521,770.5,Singapore,2026-08-28T16:11:32.820Z,439425.9084794074,692550.9745297163,1528764.7043868047,True,False,True,2,9324502_R5_bull
9324502,WHITE ROSE,6,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",base,11.8,73625.0,868775.0,770.5,Singapore,2026-08-28T16:11:32.820Z,239521.26151140436,388867.1467866304,479907.8532133696,True,False,True,1,9324502_R6_base
9324502,WHITE ROSE,6,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",bear,9.062369623047616,73625.0,667216.9634968807,770.5,Singapore,2026-08-28T16:11:32.820Z,239521.26151140436,388867.1467866304,278349.81671025034,True,False,True,0,9324502_R6_bear
9324502,WHITE ROSE,6,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",bull,16.87269772767077,73625.0,1242252.3701997604,770.5,Singapore,2026-08-28T16:11:32.820Z,239521.26151140436,388867.1467866304,853385.22341313,True,False,True,2,9324502_R6_bull
9324502,WHITE ROSE,7,"East Kalimantan, Indonesia","Paradip, India",base,16.05,54625.0,876731.25,770.5,Singapore,2026-08-28T16:11:32.820Z,267154.6995793105,430846.3022162011,445884.9477837989,True,False,True,1,9324502_R7_base
9324502,WHITE ROSE,7,"East Kalimantan, Indonesia","Paradip, India",bear,12.326358682196124,54625.0,673327.3430149633,770.5,Singapore,2026-08-28T16:11:32.820Z,267154.6995793105,430846.3022162011,242481.04079876223,True,False,True,0,9324502_R7_bear
9324502,WHITE ROSE,7,"East Kalimantan, Indonesia","Paradip, India",bull,22.94972868890812,54625.0,1253628.929631606,770.5,Singapore,2026-08-28T16:11:32.820Z,267154.6995793105,430846.3022162011,822782.6274154049,True,False,True,2,9324502_R7_bull
9324502,WHITE ROSE,8,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",base,13.1,73625.0,964487.5,770.5,Singapore,2026-08-28T16:11:32.820Z,322584.10245499795,515051.5145017198,449435.9854982802,True,False,True,1,9324502_R8_base
9324502,WHITE ROSE,8,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",bear,10.06076627643422,73625.0,740723.9171024695,770.5,Singapore,2026-08-28T16:11:32.820Z,322584.10245499795,515051.5145017198,225672.4026007497,True,False,True,0,9324502_R8_bear
9324502,WHITE ROSE,8,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",bull,18.731554256990428,73625.0,1379110.6821709203,770.5,Singapore,2026-08-28T16:11:32.820Z,322584.10245499795,515051.5145017198,864059.1676692006,True,False,True,2,9324502_R8_bull
9324502,WHITE ROSE,9,"Richards Bay, South Africa","Paradip, India",base,18.6,73625.0,1369425.0,770.5,Singapore,2026-08-28T16:11:32.820Z,420870.0548870624,664361.9717654854,705063.0282345146,True,False,True,1,9324502_R9_base
9324502,WHITE ROSE,9,"Richards Bay, South Africa","Paradip, India",bear,14.284752117685228,73625.0,1051714.8746645749,770.5,Singapore,2026-08-28T16:11:32.820Z,420870.0548870624,664361.9717654854,387352.9028990895,True,False,True,0,9324502_R9_bear
9324502,WHITE ROSE,9,"Richards Bay, South Africa","Paradip, India",bull,26.595947265650533,73625.0,1958126.6174335205,770.5,Singapore,2026-08-28T16:11:32.820Z,420870.0548870624,664361.9717654854,1293764.6456680351,True,False,True,2,9324502_R9_bull
9454905,EFESSOS WAVE,0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",base,47.0,73625.0,3460375.0,770.5,Singapore,2026-08-28T16:11:32.820Z,441649.8027534367,695929.3888681346,2764445.6111318655,True,False,True,1,9454905_R0_base
9454905,EFESSOS WAVE,0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",bear,36.09587900705407,73625.0,2657559.091894356,770.5,Singapore,2026-08-28T16:11:32.820Z,441649.8027534367,695929.3888681346,1961629.7030262216,True,False,True,0,9454905_R0_bear
9454905,EFESSOS WAVE,0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",bull,67.20481298309544,73625.0,4947954.355880401,770.5,Singapore,2026-08-28T16:11:32.820Z,441649.8027534367,695929.3888681346,4252024.967012267,True,False,True,2,9454905_R0_bull
9454905,EFESSOS WAVE,1,"Richards Bay, South Africa","Navlakhi, India",base,19.35,54625.0,1056993.75,770.5,Singapore,2026-08-28T16:11:32.820Z,362368.2505978848,575489.3411094409,481504.4088905591,True,False,True,1,9454905_R1_base
9454905,EFESSOS WAVE,1,"Richards Bay, South Africa","Navlakhi, India",bear,14.86075018694673,54625.0,811768.4789619651,770.5,Singapore,2026-08-28T16:11:32.820Z,362368.2505978848,575489.3411094409,236279.13785252417,True,False,True,0,9454905_R1_bear
9454905,EFESSOS WAVE,1,"Richards Bay, South Africa","Navlakhi, India",bull,27.668364494104186,54625.0,1511384.4104904411,770.5,Singapore,2026-08-28T16:11:32.820Z,362368.2505978848,575489.3411094409,935895.0693810002,True,False,True,2,9454905_R1_bull
9454905,EFESSOS WAVE,10,Indonesia,"Paradip, India",base,21.3,54625.0,1163512.5,770.5,Singapore,2026-08-28T16:11:32.820Z,253226.74997918415,409687.7493194485,753824.7506805515,True,False,True,1,9454905_R10_base
9454905,EFESSOS WAVE,10,Indonesia,"Paradip, India",bear,16.35834516702663,54625.0,893574.6047488297,770.5,Singapore,2026-08-28T16:11:32.820Z,253226.74997918415,409687.7493194485,483886.85542938125,True,False,True,0,9454905_R10_bear
9454905,EFESSOS WAVE,10,Indonesia,"Paradip, India",bull,30.456649288083675,54625.0,1663694.4673615708,770.5,Singapore,2026-08-28T16:11:32.820Z,253226.74997918415,409687.7493194485,1254006.7180421222,True,False,True,2,9454905_R10_bull
9454905,EFESSOS WAVE,11,"Hay Point, Australia","Visakhapatnam, India",base,27.85,73625.0,2050456.25,770.5,Singapore,2026-08-28T16:11:32.820Z,441649.8027534367,695929.3888681346,1354526.8611318655,True,False,True,1,9454905_R11_base
9454905,EFESSOS WAVE,11,"Hay Point, Australia","Visakhapatnam, India",bear,21.388728305243745,73625.0,1574745.1214735708,770.5,Singapore,2026-08-28T16:11:32.820Z,441649.8027534367,695929.3888681346,878815.7326054362,True,False,True,0,9454905_R11_bear
9454905,EFESSOS WAVE,11,"Hay Point, Australia","Visakhapatnam, India",bull,39.82242641657889,73625.0,2931926.144920621,770.5,Singapore,2026-08-28T16:11:32.820Z,441649.8027534367,695929.3888681346,2235996.7560524866,True,False,True,2,9454905_R11_bull
9454905,EFESSOS WAVE,13,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",base,26.5,54625.0,1447562.5,770.5,Singapore,2026-08-28T16:11:32.820Z,361324.6800952288,573904.0078539458,873658.4921460542,True,False,True,1,9454905_R13_base
9454905,EFESSOS WAVE,13,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",bear,20.35193178057304,54625.0,1111724.2735138023,770.5,Singapore,2026-08-28T16:11:32.820Z,361324.6800952288,573904.0078539458,537820.2656598565,True,False,True,0,9454905_R13_bear
9454905,EFESSOS WAVE,13,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",bull,37.89207540536232,54625.0,2069854.6190179167,770.5,Singapore,2026-08-28T16:11:32.820Z,361324.6800952288,573904.0078539458,1495950.611163971,True,False,True,2,9454905_R13_bull
9454905,EFESSOS WAVE,14,"East Kalimantan, Indonesia","Paradip, India",base,15.0,54625.0,819375.0,770.5,Singapore,2026-08-28T16:11:32.820Z,267154.6995793105,430846.3022162011,388528.6977837989,True,False,True,1,9454905_R14_base
9454905,EFESSOS WAVE,14,"East Kalimantan, Indonesia","Paradip, India",bear,11.519961385230022,54625.0,629277.89066819,770.5,Singapore,2026-08-28T16:11:32.820Z,267154.6995793105,430846.3022162011,198431.58845198888,True,False,True,0,9454905_R14_bear
9454905,EFESSOS WAVE,14,"East Kalimantan, Indonesia","Paradip, India",bull,21.44834456907301,54625.0,1171615.8220856132,770.5,Singapore,2026-08-28T16:11:32.820Z,267154.6995793105,430846.3022162011,740769.5198694121,True,False,True,2,9454905_R14_bull
9454905,EFESSOS WAVE,15,Atlantic / Black Sea ports (Taman / Ust-Luga proxy),"Visakhapatnam, India",base,19.5,73625.0,1435687.5,770.5,Singapore,2026-08-28T16:11:32.820Z,492949.3909363023,773860.8203646226,661826.6796353774,True,False,True,1,9454905_R15_base
9454905,EFESSOS WAVE,15,Atlantic / Black Sea ports (Taman / Ust-Luga proxy),"Visakhapatnam, India",bear,14.975949800799029,73625.0,1102604.3040838286,770.5,Singapore,2026-08-28T16:11:32.820Z,492949.3909363023,773860.8203646226,328743.48371920595,True,False,True,0,9454905_R15_bear
9454905,EFESSOS WAVE,15,Atlantic / Black Sea ports (Taman / Ust-Luga proxy),"Visakhapatnam, India",bull,27.88284793979492,73625.0,2052874.679567401,770.5,Singapore,2026-08-28T16:11:32.820Z,492949.3909363023,773860.8203646226,1279013.8592027784,True,False,True,2,9454905_R15_bull
9454905,EFESSOS WAVE,17,"Queensland, Australia","Haldia, India",base,20.3,73625.0,1494587.5,770.5,Singapore,2026-08-28T16:11:32.820Z,426050.4295950374,672231.7038818835,822355.7961181165,True,False,True,1,9454905_R17_base
9454905,EFESSOS WAVE,17,"Queensland, Australia","Haldia, India",bear,15.59034774134463,73625.0,1147839.3524564984,770.5,Singapore,2026-08-28T16:11:32.820Z,426050.4295950374,672231.7038818835,475607.6485746149,True,False,True,0,9454905_R17_bear
9454905,EFESSOS WAVE,17,"Queensland, Australia","Haldia, India",bull,29.026759650145475,73625.0,2137095.1792419604,770.5,Singapore,2026-08-28T16:11:32.820Z,426050.4295950374,672231.7038818835,1464863.4753600769,True,False,True,2,9454905_R17_bull
9454905,EFESSOS WAVE,18,"Richards Bay, South Africa","Haldia, India",base,12.8,73625.0,942400.0,770.5,Singapore,2026-08-28T16:11:32.820Z,426370.9579510534,672718.6324227229,269681.3675772771,True,False,True,1,9454905_R18_base
9454905,EFESSOS WAVE,18,"Richards Bay, South Africa","Haldia, India",bear,9.83036704872962,73625.0,723760.7739627183,770.5,Singapore,2026-08-28T16:11:32.820Z,426370.9579510534,672718.6324227229,51042.14153999544,True,False,True,0,9454905_R18_bear
9454905,EFESSOS WAVE,18,"Richards Bay, South Africa","Haldia, India",bull,18.302587365608968,73625.0,1347527.9947929604,770.5,Singapore,2026-08-28T16:11:32.820Z,426370.9579510534,672718.6324227229,674809.3623702375,True,False,True,2,9454905_R18_bull
9454905,EFESSOS WAVE,2,"Hay Point, Australia","Paradip, India",base,13.8,73625.0,1016025.0,770.5,Singapore,2026-08-28T16:11:32.820Z,439425.9084794074,692550.9745297163,323474.0254702837,True,False,True,1,9454905_R2_base
9454905,EFESSOS WAVE,2,"Hay Point, Australia","Paradip, India",bear,10.59836447441162,73625.0,780304.5844285554,770.5,Singapore,2026-08-28T16:11:32.820Z,439425.9084794074,692550.9745297163,87753.60989883915,True,False,True,0,9454905_R2_bear
9454905,EFESSOS WAVE,2,"Hay Point, Australia","Paradip, India",bull,19.73247700354717,73625.0,1452803.6193861605,770.5,Singapore,2026-08-28T16:11:32.820Z,439425.9084794074,692550.9745297163,760252.6448564442,True,False,True,2,9454905_R2_bull
9454905,EFESSOS WAVE,20,East Coast Australia,East Coast India,base,19.55,166250.0,3250187.5,770.5,Singapore,2026-08-28T16:11:32.820Z,473999.9702870119,745073.9327981147,2505113.5672018854,True,False,True,1,9454905_R20_base
9454905,EFESSOS WAVE,20,East Coast Australia,East Coast India,bear,15.01434967208313,166250.0,2496135.6329838205,770.5,Singapore,2026-08-28T16:11:32.820Z,473999.9702870119,745073.9327981147,1751061.700185706,True,False,True,0,9454905_R20_bear
9454905,EFESSOS WAVE,20,East Coast Australia,East Coast India,bull,27.954342421691823,166250.0,4647409.427606266,770.5,Singapore,2026-08-28T16:11:32.820Z,473999.9702870119,745073.9327981147,3902335.4948081514,True,False,True,2,9454905_R20_bull
9454905,EFESSOS WAVE,21,Indonesia,East Coast India,base,17.45,166250.0,2901062.5,770.5,Singapore,2026-08-28T16:11:32.820Z,253226.74997918415,409687.7493194485,2491374.7506805514,True,False,True,1,9454905_R21_base
9454905,EFESSOS WAVE,21,Indonesia,East Coast India,bear,13.401555078150926,166250.0,2228008.5317425914,770.5,Singapore,2026-08-28T16:11:32.820Z,253226.74997918415,409687.7493194485,1818320.7824231428,True,False,True,0,9454905_R21_bear
9454905,EFESSOS WAVE,21,Indonesia,East Coast India,bull,24.9515741820216,166250.0,4148199.2077610907,770.5,Singapore,2026-08-28T16:11:32.820Z,253226.74997918415,409687.7493194485,3738511.458441642,True,False,True,2,9454905_R21_bull
9454905,EFESSOS WAVE,22,Indonesia,West Coast India,base,17.7,73625.0,1303162.5,770.5,Singapore,2026-08-28T16:11:32.820Z,361576.96779122745,574287.269045596,728875.230954404,True,False,True,1,9454905_R22_base
9454905,EFESSOS WAVE,22,Indonesia,West Coast India,bear,13.593554434571423,73625.0,1000825.445245321,770.5,Singapore,2026-08-28T16:11:32.820Z,361576.96779122745,574287.269045596,426538.176199725,True,False,True,0,9454905_R22_bear
9454905,EFESSOS WAVE,22,Indonesia,West Coast India,bull,25.30904659150615,73625.0,1863378.5552996402,770.5,Singapore,2026-08-28T16:11:32.820Z,361576.96779122745,574287.269045596,1289091.2862540442,True,False,True,2,9454905_R22_bull
9454905,EFESSOS WAVE,24,US East Coast (Hampton Roads / Baltimore),East Coast India (Paradip / Visakhapatnam),base,44.35,73625.0,3265268.75,770.5,Singapore,2026-08-28T16:11:32.820Z,841886.934711488,1303946.9916674844,1961321.7583325156,True,False,True,1,9454905_R24_base
9454905,EFESSOS WAVE,24,US East Coast (Hampton Roads / Baltimore),East Coast India (Paradip / Visakhapatnam),bear,34.06068582899677,73625.0,2507717.994159887,770.5,Singapore,2026-08-28T16:11:32.820Z,841886.934711488,1303946.9916674844,1203771.0024924027,True,False,True,0,9454905_R24_bear
9454905,EFESSOS WAVE,24,US East Coast (Hampton Roads / Baltimore),East Coast India (Paradip / Visakhapatnam),bull,63.415605442559205,73625.0,4668973.950708422,770.5,Singapore,2026-08-28T16:11:32.820Z,841886.934711488,1303946.9916674844,3365026.9590409375,True,False,True,2,9454905_R24_bull
9454905,EFESSOS WAVE,3,"East Kalimantan, Indonesia","Navlakhi, India",base,18.45,54625.0,1007831.25,770.5,Singapore,2026-08-28T16:11:32.820Z,375504.91739135387,595445.8219423487,412385.42805765127,True,False,True,1,9454905_R3_base
9454905,EFESSOS WAVE,3,"East Kalimantan, Indonesia","Navlakhi, India",bear,14.169552503832929,54625.0,774011.8055218738,770.5,Singapore,2026-08-28T16:11:32.820Z,375504.91739135387,595445.8219423487,178565.98357952503,True,False,True,0,9454905_R3_bear
9454905,EFESSOS WAVE,3,"East Kalimantan, Indonesia","Navlakhi, India",bull,26.3814638199598,54625.0,1441087.461165304,770.5,Singapore,2026-08-28T16:11:32.820Z,375504.91739135387,595445.8219423487,845641.6392229553,True,False,True,2,9454905_R3_bull
9454905,EFESSOS WAVE,4,"Hay Point, Australia","Visakhapatnam, India",base,23.3,73625.0,1715462.5,770.5,Singapore,2026-08-28T16:11:32.820Z,441649.8027534367,695929.3888681346,1019533.1111318654,True,False,True,1,9454905_R4_base
9454905,EFESSOS WAVE,4,"Hay Point, Australia","Visakhapatnam, India",bear,17.894340018390636,73625.0,1317470.7838540105,770.5,Singapore,2026-08-28T16:11:32.820Z,441649.8027534367,695929.3888681346,621541.3949858759,True,False,True,0,9454905_R4_bear
9454905,EFESSOS WAVE,4,"Hay Point, Australia","Visakhapatnam, India",bull,33.31642856396007,73625.0,2452922.0530215604,770.5,Singapore,2026-08-28T16:11:32.820Z,441649.8027534367,695929.3888681346,1756992.664153426,True,False,True,2,9454905_R4_bull
9454905,EFESSOS WAVE,5,"Hay Point, Australia","Paradip, India",base,21.1,73625.0,1553487.5,770.5,Singapore,2026-08-28T16:11:32.820Z,439425.9084794074,692550.9745297163,860936.5254702837,True,False,True,1,9454905_R5_base
9454905,EFESSOS WAVE,5,"Hay Point, Australia","Paradip, India",bear,16.20474568189023,73625.0,1193074.4008291683,770.5,Singapore,2026-08-28T16:11:32.820Z,439425.9084794074,692550.9745297163,500523.42629945197,True,False,True,0,9454905_R5_bear
9454905,EFESSOS WAVE,5,"Hay Point, Australia","Paradip, India",bull,30.17067136049604,73625.0,2221315.678916521,770.5,Singapore,2026-08-28T16:11:32.820Z,439425.9084794074,692550.9745297163,1528764.7043868047,True,False,True,2,9454905_R5_bull
9454905,EFESSOS WAVE,6,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",base,11.8,73625.0,868775.0,770.5,Singapore,2026-08-28T16:11:32.820Z,239521.26151140436,388867.1467866304,479907.8532133696,True,False,True,1,9454905_R6_base
9454905,EFESSOS WAVE,6,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",bear,9.062369623047616,73625.0,667216.9634968807,770.5,Singapore,2026-08-28T16:11:32.820Z,239521.26151140436,388867.1467866304,278349.81671025034,True,False,True,0,9454905_R6_bear
9454905,EFESSOS WAVE,6,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",bull,16.87269772767077,73625.0,1242252.3701997604,770.5,Singapore,2026-08-28T16:11:32.820Z,239521.26151140436,388867.1467866304,853385.22341313,True,False,True,2,9454905_R6_bull
9454905,EFESSOS WAVE,7,"East Kalimantan, Indonesia","Paradip, India",base,16.05,54625.0,876731.25,770.5,Singapore,2026-08-28T16:11:32.820Z,267154.6995793105,430846.3022162011,445884.9477837989,True,False,True,1,9454905_R7_base
9454905,EFESSOS WAVE,7,"East Kalimantan, Indonesia","Paradip, India",bear,12.326358682196124,54625.0,673327.3430149633,770.5,Singapore,2026-08-28T16:11:32.820Z,267154.6995793105,430846.3022162011,242481.04079876223,True,False,True,0,9454905_R7_bear
9454905,EFESSOS WAVE,7,"East Kalimantan, Indonesia","Paradip, India",bull,22.94972868890812,54625.0,1253628.929631606,770.5,Singapore,2026-08-28T16:11:32.820Z,267154.6995793105,430846.3022162011,822782.6274154049,True,False,True,2,9454905_R7_bull
9454905,EFESSOS WAVE,8,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",base,13.1,73625.0,964487.5,770.5,Singapore,2026-08-28T16:11:32.820Z,322584.10245499795,515051.5145017198,449435.9854982802,True,False,True,1,9454905_R8_base
9454905,EFESSOS WAVE,8,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",bear,10.06076627643422,73625.0,740723.9171024695,770.5,Singapore,2026-08-28T16:11:32.820Z,322584.10245499795,515051.5145017198,225672.4026007497,True,False,True,0,9454905_R8_bear
9454905,EFESSOS WAVE,8,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",bull,18.731554256990428,73625.0,1379110.6821709203,770.5,Singapore,2026-08-28T16:11:32.820Z,322584.10245499795,515051.5145017198,864059.1676692006,True,False,True,2,9454905_R8_bull
9454905,EFESSOS WAVE,9,"Richards Bay, South Africa","Paradip, India",base,18.6,73625.0,1369425.0,770.5,Singapore,2026-08-28T16:11:32.820Z,420870.0548870624,664361.9717654854,705063.0282345146,True,False,True,1,9454905_R9_base
9454905,EFESSOS WAVE,9,"Richards Bay, South Africa","Paradip, India",bear,14.284752117685228,73625.0,1051714.8746645749,770.5,Singapore,2026-08-28T16:11:32.820Z,420870.0548870624,664361.9717654854,387352.9028990895,True,False,True,0,9454905_R9_bear
9454905,EFESSOS WAVE,9,"Richards Bay, South Africa","Paradip, India",bull,26.595947265650533,73625.0,1958126.6174335205,770.5,Singapore,2026-08-28T16:11:32.820Z,420870.0548870624,664361.9717654854,1293764.6456680351,True,False,True,2,9454905_R9_bull
9465186,ES GLORY SEA,0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",base,47.0,73625.0,3460375.0,770.5,Singapore,2026-08-28T16:11:32.820Z,441649.8027534367,695929.3888681346,2764445.6111318655,True,False,True,1,9465186_R0_base
9465186,ES GLORY SEA,0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",bear,36.09587900705407,73625.0,2657559.091894356,770.5,Singapore,2026-08-28T16:11:32.820Z,441649.8027534367,695929.3888681346,1961629.7030262216,True,False,True,0,9465186_R0_bear
9465186,ES GLORY SEA,0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",bull,67.20481298309544,73625.0,4947954.355880401,770.5,Singapore,2026-08-28T16:11:32.820Z,441649.8027534367,695929.3888681346,4252024.967012267,True,False,True,2,9465186_R0_bull
9465186,ES GLORY SEA,1,"Richards Bay, South Africa","Navlakhi, India",base,19.35,54625.0,1056993.75,770.5,Singapore,2026-08-28T16:11:32.820Z,362368.2505978848,575489.3411094409,481504.4088905591,True,False,True,1,9465186_R1_base
9465186,ES GLORY SEA,1,"Richards Bay, South Africa","Navlakhi, India",bear,14.86075018694673,54625.0,811768.4789619651,770.5,Singapore,2026-08-28T16:11:32.820Z,362368.2505978848,575489.3411094409,236279.13785252417,True,False,True,0,9465186_R1_bear
9465186,ES GLORY SEA,1,"Richards Bay, South Africa","Navlakhi, India",bull,27.668364494104186,54625.0,1511384.4104904411,770.5,Singapore,2026-08-28T16:11:32.820Z,362368.2505978848,575489.3411094409,935895.0693810002,True,False,True,2,9465186_R1_bull
9465186,ES GLORY SEA,10,Indonesia,"Paradip, India",base,21.3,54625.0,1163512.5,770.5,Singapore,2026-08-28T16:11:32.820Z,253226.74997918415,409687.7493194485,753824.7506805515,True,False,True,1,9465186_R10_base
9465186,ES GLORY SEA,10,Indonesia,"Paradip, India",bear,16.35834516702663,54625.0,893574.6047488297,770.5,Singapore,2026-08-28T16:11:32.820Z,253226.74997918415,409687.7493194485,483886.85542938125,True,False,True,0,9465186_R10_bear
9465186,ES GLORY SEA,10,Indonesia,"Paradip, India",bull,30.456649288083675,54625.0,1663694.4673615708,770.5,Singapore,2026-08-28T16:11:32.820Z,253226.74997918415,409687.7493194485,1254006.7180421222,True,False,True,2,9465186_R10_bull
9465186,ES GLORY SEA,11,"Hay Point, Australia","Visakhapatnam, India",base,27.85,73625.0,2050456.25,770.5,Singapore,2026-08-28T16:11:32.820Z,441649.8027534367,695929.3888681346,1354526.8611318655,True,False,True,1,9465186_R11_base
9465186,ES GLORY SEA,11,"Hay Point, Australia","Visakhapatnam, India",bear,21.388728305243745,73625.0,1574745.1214735708,770.5,Singapore,2026-08-28T16:11:32.820Z,441649.8027534367,695929.3888681346,878815.7326054362,True,False,True,0,9465186_R11_bear
9465186,ES GLORY SEA,11,"Hay Point, Australia","Visakhapatnam, India",bull,39.82242641657889,73625.0,2931926.144920621,770.5,Singapore,2026-08-28T16:11:32.820Z,441649.8027534367,695929.3888681346,2235996.7560524866,True,False,True,2,9465186_R11_bull
9465186,ES GLORY SEA,13,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",base,26.5,54625.0,1447562.5,770.5,Singapore,2026-08-28T16:11:32.820Z,361324.6800952288,573904.0078539458,873658.4921460542,True,False,True,1,9465186_R13_base
9465186,ES GLORY SEA,13,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",bear,20.35193178057304,54625.0,1111724.2735138023,770.5,Singapore,2026-08-28T16:11:32.820Z,361324.6800952288,573904.0078539458,537820.2656598565,True,False,True,0,9465186_R13_bear
9465186,ES GLORY SEA,13,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",bull,37.89207540536232,54625.0,2069854.6190179167,770.5,Singapore,2026-08-28T16:11:32.820Z,361324.6800952288,573904.0078539458,1495950.611163971,True,False,True,2,9465186_R13_bull
